,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Regex
187,03/26/2022,19:12,QUEENS,11419.0,40.69349,-73.826546,"(40.69349, -73.826546)",,,94-39     120 STREET,0.0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4513581,Station Wagon/Sport Utility Vehicle,Sedan,,,,03.69349.826546
188,03/26/2022,21:29,QUEENS,11374.0,40.726463,-73.85943,"(40.726463, -73.85943)",WETHEROLE STREET,65 ROAD,,1.0,0,1,0,0,0,0,0,Unsafe Speed,,,,,4513772,Bike,,,,,03.726463.85943
189,03/25/2022,13:21,BRONX,10458.0,40.856434,-73.886826,"(40.856434, -73.886826)",EAST 188 STREET,ARTHUR AVENUE,,1.0,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4514221,Sedan,Sedan,,,,03.856434.886826
190,03/22/2022,8:20,BRONX,10467.0,40.87151,-73.87057,"(40.87151, -73.87057)",BURKE AVENUE,BRONX PARK EAST,,1.0,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4514277,Sedan,Bike,,,,03.87151.87057
191,03/26/2022,22:30,BROOKLYN,11238.0,40.68686,-73.96758,"(40.68686, -73.96758)",,,386       CLINTON AVENUE,0.0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4514166,Sedan,,,,,03.68686.96758
192,03/26/2022,11:20,,,40.624763,-73.96518,"(40.624763, -73.96518)",CONEY ISLAND AVENUE,,,1.0,0,0,0,0,0,1,0,Alcohol Involvement,Driver Inattention/Distraction,,,,4513691,Sedan,,,,,03.624763.96518
193,03/26/2022,18:17,QUEENS,11422.0,40.678417,-73.729225,"(40.678417, -73.729225)",130 AVENUE,BROOKVILLE BOULEVARD,,0.0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4513782,Sedan,Station Wagon/Sport Utility Vehicle,,,,03.678417.729225
194,03/14/2022,10:30,QUEENS,11433.0,40.692596,-73.79078,"(40.692596, -73.79078)",,,160-18    110 AVENUE,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4514390,Station Wagon/Sport Utility Vehicle,,,,,03.692596.79078
195,03/26/2022,1:30,,,40.734486,-73.891754,"(40.734486, -73.891754)",CALAMUS AVENUE,72 STREET,,0.0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4514215,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Sedan,,,03.734486.891754
196,03/26/2022,3:23,BRONX,10475.0,40.88399,-73.82641,"(40.88399, -73.82641)",,,2291      NEW ENGLAND THRUWAY,1.0,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4513994,Box Truck,Sedan,,,,03.88399.82641
197,03/26/2022,1:45,BROOKLYN,11238.0,40.683872,-73.95998,"(40.683872, -73.95998)",,,41        IRVING PLACE,0.0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4513503,Taxi,Station Wagon/Sport Utility Vehicle,,,,03.683872.95998
198,03/05/2022,14:52,MANHATTAN,10035.0,40.799484,-73.92929,"(40.799484, -73.92929)",,,30        PALADINO AVENUE,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4514151,Sedan,,,,,03.799484.92929
199,03/26/2022,20:27,,,40.70839,-74.00482,"(40.70839, -74.00482)",FULTON STREET,,,0.0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4513655,Sedan,E-Bike,,,,03.70839.00482
200,03/26/2022,18:19,MANHATTAN,10019.0,40.766502,-73.99418,"(40.766502, -73.99418)",WEST 51 STREET,11 AVENUE,,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4514070,Sedan,,,,,03.766502.99418
201,03/26/2022,23:00,QUEENS,11420.0,40.676304,-73.816284,"(40.676304, -73.816284)",,,115-36    122 STREET,0.0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,4513952,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,03.676304.816284
202,03/26/2022,18:00,BROOKLYN,11207.0,40.66447,-73.89593,"(40.66447, -73.89593)",GEORGIA AVENUE,LIVONIA AVENUE,,0.0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4513827,Sedan,Sedan,,,,03.66447.89593
203,03/23/2022,20:40,,,40.709835,-74.014885,"(40.709835, -74.014885)",WEST STREET,,,0.0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4514285,Station Wagon/Sport Utility Vehicle,,,,,03.709835.014885
204,04/24/2022,11:45,,,40.585342,-73.94157,"(40.585342, -73.94157)",BELT PARKWAY,,,0.0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521782,Sedan,,,,,04.585342.94157
205,09/11/2021,12:01,MANHATTAN,10016.0,40.746395,-73.9856,"(40.746395, -73.9856)",,,3         EAST 31 STREET,0.0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4457012,Station Wagon/Sport Utility Vehicle,,,,,09.746395.9856
206,09/10/2021,11:00,BROOKLYN,11230.0,40.617004,-73.96912,"(40.617004, -73.96912)",OCEAN PARKWAY,AVENUE M,,0.0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4457022,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,09.617004.96912
207,09/11/2021,20:15,MANHATTAN,10013.0,40.718662,-74.00615,"(40.718662, -74.00615)",,,116       FRANKLIN STREET,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4456987,Station Wagon/Sport Utility Vehicle,,,,,09.718662.00615
208,09/09/2021,8:15,BROOKLYN,11238.0,40.680664,-73.97028,"(40.680664, -73.97028)",,,590       DEAN STREET,0.0,0,0,0,0,0,0,0,Backing Unsafely,,,,,4456970,,,,,,09.680664.97028
209,12/10/2021,23:07,BROOKLYN,11233.0,40.67392,-73.91012,"(40.67392, -73.91012)",BERGEN STREET,EASTERN PARKWAY,,0.0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4485574,Sedan,,,,,12.67392.91012
